Rang;Sites;"Visites totales";"Visites Site Fixe";"Visites Site Mobile";"Visites Site AMP";"Pages Vues Totales";"Pages Vues / Visites"
46;01net.com;15296573;8621827;4501746;2173000;51459067;3,4
8;20minutes.fr;120668041;37647453;56430094;26590494;244037677;2,0
163;360m2.fr;160495;160495;;NC;518924;3,2
143;94.citoyens.com;676891;120707;556184;NC;963079;1,4
11;Actu.fr;75416448;9645147;52662849;13108452;101972223;1,4
129;Admagazine.fr;1366267;214734;835468;316065;1796101;1,3
33;Arte.tv;24451667;18887869;5563798;NC;88132425;3,6
145;Autojournal.fr;625515;197194;191299;237022;1058813;1,7
65;Autoplus.fr;7842908;1535628;2819954;3487326;19794285;2,5
7;Bfmtv.com;140332491;20701471;119631020;NC;230033674;1,6
92;Bienpublic.com;3942421;1505411;2437010;NC;12508286;3,2
17;Boursorama.com;48930158;22371593;24098842;2459723;488858281;10,0
93;Businessinsider.fr;3742878;1124364;2618514;NC;19340570;5,2
28;Capital.fr;29424744;8138176;11877616;9408952;46666607;1,6
133;Centre-presse.fr;1102581;1102581;;NC;1999397;1,8
130;Centrepresseaveyron.fr;1309411;459499;849912;NC;3614659;2,8
104;Cesoirtv.com;2734253;866120;1868133;NC;6998541;2,6
61;Challenges.fr;8118232;1924739;3907505;2285988;12475951;1,5
87;Charentelibre.fr;4737499;1188800;2827547;721152;11011907;2,3
25;Closermag.fr;32739539;2542342;12583015;17614182;162276261;5,0
147;Connaissancedesarts.com;500218;195949;304269;NC;1118111;2,2
100;Corsematin.com;3095443;570122;2525321;NC;5567210;1,8
117;Corsenetinfos.corsica;1657844;223102;1434742;NC;2371247;1,4
62;Cosmopolitan.fr;8109568;1382686;6726882;NC;12363821;1,5
89;Cotemaison.fr;4358415;1548395;1778384;1031636;32533890;7,5
79;Courrier-picard.fr;5499064;1519185;3568378;411501;9601688;1,8
49;CourrierInternational.com;14534119;2901043;11633076;NC;25619999;1,8
160;Diapasonmag.fr;201724;44825;142681;14218;341085;1,7
66;Dna.fr;7681293;2243476;5437817;NC;15654428;2,0
22;Doctissimo.fr;40200875;7807469;32393406;NC;141538288;3,5
175;Dordognelibre.fr;96034;96034;;NC;286901;3,0
102;Dossierfamilial.com;2971264;1038487;1932777;NC;3777623;1,3
118;Enfant.com;1637470;241547;1395923;NC;5333711;3,3
57;Estrepublicain.fr;10530572;2994584;7535988;NC;25316036;2,4
35;Europe1.fr;22839998;4917960;12823070;5098968;35737412;1,6
149;Familiscope.fr;474095;209765;264330;NC;1082629;2,3
10;Femmeactuelle.fr;82048834;24375981;42865681;14807172;174841772;2,1
107;Fip.fr;2433861;1500041;933820;NC;4398178;1,8
27;Footmercato.net;29933181;5760311;19172482;5000388;79633930;2,7
43;France24.com;20089871;6031872;14057999;NC;30701670;1,5
20;Francebleu.fr;43361901;11012310;22730945;9618646;57833143;1,3
50;Franceculture.fr;13937568;3818168;9572421;546979;26200019;1,9
94;Francefootball.fr;3655164;726670;2928494;NC;10404958;2,9
5;Franceinfo.fr;148823265;41506477;65984080;41332708;230485235;1,6
40;Franceinter.fr;20403140;6444924;11357066;2601150;33340612;1,6
114;Francemusique.fr;1792543;928133;864410;NC;3388819;1,9
12;Gala.fr;58719015;12218763;32015300;14484952;115928026;2,0
167;Gazettebourgogne.fr;136035;111684;24351;NC;238590;1,8
166;Gazettemoselle.fr;137725;112422;25303;NC;255434;1,9
159;Gazettenormandie.fr;203220;164873;38347;NC;365728;1,8
154;Gazettenpdc.fr;327602;267260;60342;NC;565606;1,7
173;Gazetteoise.fr;107045;85118;21927;NC;193086;1,8
34;Gentside.com;24164466;3341655;20822811;NC;33153915;1,4
96;Geo.fr;3390287;1605659;1784628;NC;9357608;2,8
76;Gqmagazine.fr;5824819;546628;3258446;2019745;7632559;1,3
81;Grazia.fr;5354380;496256;2214319;2643805;26960764;5,0
112;Guide-piscine.fr;1803915;1041523;762392;NC;3504811;1,9
171;Guyaweb.com;113521;24824;88697;NC;240989;2,1
191;Hautegironde.fr;8628;2348;6280;NC;14315;1,7
179;Hebdo-ardeche.fr;88115;21648;66467;NC;125440;1,4
135;Herault-tribune.com;1078901;124491;954410;NC;1547464;1,4
16;Huffingtonpost.fr;49603110;11392961;27185396;11024753;71025605;1,4
136;Info-chalon.com;1017907;165862;852045;NC;1798010;1,8
153;Jds.fr;328910;328910;;NC;506918;1,5
123;L'Aisnenouvelle.fr;1472434;278204;1032942;161288;2326586;1,6
19;L'Equipe.fr;43587587;16376455;27211132;NC;149918409;3,4
21;L'Obs.com;40573809;13828371;20961702;5783736;88048667;2,2
60;La-croix.com;8854717;2796452;3597560;2460705;14710808;1,7
38;Lachainemeteo.com;21483712;9822069;10659038;1002605;51601556;2,4
18;Ladepeche.fr;45646102;7529912;24574349;13541841;85211580;1,9
176;Ladepechedubassin.fr;95182;14055;81127;NC;139442;1,5
82;Lalsace.fr;5290697;1445942;3844755;NC;10714422;2,0
124;Lamanchelibre.fr;1430998;306489;763156;361353;2467270;1,7
63;Lamontagne.fr;7990599;1931772;6058827;NC;18199242;2,3
70;Lanouvellerepublique.fr;6999396;2917214;4082182;NC;19250244;2,8
36;Laprovence.com;22490799;4089413;13947963;4453423;51916222;2,3
134;LArdennais.fr;1101149;252628;812341;36180;2861422;2,6
108;Larep.fr;2285255;573336;1711919;NC;5320666;2,3
91;Larepubliquedespyrenees.fr;4010185;870752;2525879;613554;8039203;2,0
80;LArgus.fr;5439499;2423635;2070135;945729;21859382;4,0
148;Larvf.com;498055;224623;273432;NC;750730;1,5
168;Lasavoie.fr;132104;27355;85154;19595;195698;1,5
174;Lasemaine.fr;96831;27975;30320;38536;125173;1,3
187;Lasemainedelallier.fr;32948;8951;23997;NC;46836;1,4
146;Lasemainedespyrenees.fr;590277;61760;528517;NC;930653;1,6
190;Lathierache.fr;22680;7858;14822;NC;36501;1,6
69;Latribune.fr;7071656;2629791;3921973;519892;22796354;3,2
180;LaTribuneRepublicaine.fr;79172;19396;47238;12538;122409;1,6
188;Lavoixdelahautemarne.fr;27922;7094;20828;NC;40204;1,4
155;Lavoixdelain.fr;316635;84211;232424;NC;434532;1,4
31;Lavoixdunord.fr;27904964;5735669;19336471;2832824;59993711;2,2
13;LCI.fr;55553998;7533100;32326591;15694307;71732132;1,3
183;Le-pays.fr;69900;27767;42133;NC;156987;2,3
116;Leberry.fr;1698507;438301;1260206;NC;4140215;2,4
164;Lebonhommepicard.fr;154184;18953;135231;NC;203815;1,3
125;Lechorepublicain.fr;1409300;353440;1055860;NC;3309745;2,4
141;Lecourriercauchois.fr;756877;80377;475471;201029;971693;1,3
39;Ledauphine.com;20735186;5712952;15022234;NC;49473816;2,4
189;Ledemocratedebergerac.fr;24640;5818;18822;NC;37371;1,5
2;LeFigaro.fr;170009083;52572830;97368065;20068188;310851799;1,8
131;Lejdc.fr;1197255;375365;821890;NC;2616936;2,2
75;LeJDD.fr;5836869;1245683;4591186;NC;7833083;1,3
86;Lejsl.com;4800399;2096760;2703639;NC;17766482;3,7
122;Lemessager.fr;1507779;275841;999685;232253;2371674;1,6
3;LeMonde.fr;162659055;52325108;110333947;NC;451230531;2,8
9;LeParisien.fr;103296857;24881195;53412975;25002687;158450495;1,5
170;Lepaysgessien.fr;118156;30440;77361;10355;194699;1,7
23;LePoint.fr;35252988;8585296;18817854;7849838;76677572;2,2
115;Lepopulaire.fr;1778911;434768;1344143;NC;3927999;2,2
47;Leprogres.fr;15017135;4698274;10318861;NC;38985787;2,6
186;Leresistant.fr;33317;5790;27527;NC;47179;1,4
95;Lerevenu.com;3515032;801119;2713913;NC;5004763;1,4
182;Leschasseursdemploi.com;70831;70831;;NC;308720;4,4
32;LesEchos.fr;27382981;11163546;16219435;NC;55245399;2,0
85;Lesinrocks.com;4804254;1147199;2711488;945567;8823469;1,8
144;Lessorsavoyard.fr;672474;109897;453008;109569;944729;1,4
105;LEst-Eclair.fr;2731443;553946;1969950;207547;6627172;2,4
44;Letelegramme.fr;17087161;4238968;8859862;3988331;42845938;2,5
138;Leveil.fr;833222;292677;540545;NC;1921169;2,3
26;Lexpress.fr;30849223;7952291;15404639;7492293;46766417;1,5
128;LHumanité.fr;1367980;552558;672601;142821;2191029;1,6
184;Liberation-champagne.fr;34295;15045;19162;88;70560;2,1
30;Liberation.fr;27937012;8470651;11349147;8117214;40146528;1,4
53;Lindependant.fr;11672271;2431455;6969951;2270865;23710323;2,0
140;Lobservateur.fr;801528;90005;711523;NC;1015782;1,3
150;Lobservateurdebeauvais.fr;431941;46495;385446;NC;569603;1,3
45;Logic-Immo.com;16958603;8954124;8004479;NC;90030946;5,3
113;LOpinion.fr;1792904;759307;1033597;NC;3040661;1,7
73;LUnion.fr;6598568;1438442;4369401;790725;15137716;2,3
142;Lux-residence.com;693259;692332;927;NC;3554633;5,1
127;Lyonne.fr;1370855;356511;1014344;NC;3259945;2,4
161;Lyonpeople.com;193585;111603;81982;NC;300067;1,6
120;maCommune.info;1547262;291958;1255304;NC;2560406;1,7
139;Magazine-avantages.fr;826393;184856;641537;NC;1382938;1,7
59;Magicmaman.com;9012500;1551794;7460706;NC;13009154;1,4
71;Marianne.net;6994210;1331621;5662589;NC;10566004;1,5
51;Marieclaire.fr;13679616;3054851;10624765;NC;24383293;1,8
157;Mediabask.eus;308576;64580;243996;NC;483596;1,6
37;Midilibre.fr;22482579;5066264;13042499;4373816;46263069;2,1
165;Modesettravaux.fr;141730;50180;61146;30404;322854;2,3
126;Monde-diplomatique.fr;1379106;661297;717809;NC;2581136;1,9
99;Mouv.fr;3125591;357548;1887741;880302;4006456;1,3
48;Nicematin.com;14835428;2971627;10827227;1036574;24611332;1,7
152;Nordeclair.fr;339984;78759;261225;NC;642843;1,9
137;NordLittoral.fr;991141;192267;798874;NC;2181430;2,2
109;Notrefamille.com;2043331;537006;1506325;NC;4127995;2,0
83;Notretemps.com;5237418;3153553;2083865;NC;13290560;2,5
106;Objectifgard.com;2543821;289296;2254525;NC;3740554;1,5
24;Ohmymag.com;33919704;3354624;30565080;NC;47809497;1,4
1;Orange.fr;269636999;207286365;62350634;NC;1530759927;5,7
4;Ouest-france.fr;151980296;35244146;91850484;24885666;488853076;3,2
64;Parents.fr;7926421;2517852;5408569;NC;13911454;1,8
88;Paris-normandie.fr;4449438;830370;3090200;528868;7776386;1,8
41;ParisMatch.com;20358889;3822521;10883092;5653276;60599255;3,0
181;Petitesaffiches.fr;75474;28505;46969;NC;124450;1,7
162;Picardiegazette.fr;171950;134449;37501;NC;299358;1,7
121;Pleinevie.fr;1518021;240412;722322;555287;3697547;2,4
78;Pourquoidocteur.fr;5524425;1175554;1255926;3092945;6811128;1,2
77;Premiere.fr;5647609;5647609;;NC;7746322;1,4
172;Presselib.com;107857;42945;64912;NC;153103;1,4
84;Psychologies.com;5199578;1802821;2261720;1135037;21714917;4,2
132;Radioclassique.fr;1136395;517276;619119;NC;2218122;2,0
68;Republicain-lorrain.fr;7138603;1944109;5194494;NC;18102882;2,5
42;Rfi.fr;20349930;5319138;15030792;NC;37738833;1,9
169;Rue89lyon.fr;124244;50559;73685;NC;153270;1,2
111;Rugbyrama.fr;1825633;1393706;;431927;3989405;2,2
54;Santemagazine.fr;11247020;2400261;8846759;NC;16389791;1,5
110;Science-et-vie.com;1919577;239826;979629;700122;2782689;1,5
58;Sciencesetavenir.fr;9301444;1857156;4619281;2825007;14122264;1,5
29;Seloger.com;28868676;11543737;17324939;NC;138418119;4,8
158;Sicavonline.fr;210932;137727;73205;NC;1636083;7,8
151;Sportauto.fr;356993;109394;140365;107234;646376;1,8
98;Studyrama.com;3180218;1239056;1941162;NC;10977614;3,5
15;Sudouest.fr;51812921;8857825;29513879;13441217;96080681;1,9
178;Tabletteslorraines.fr;88261;69320;18941;NC;156822;1,8
192;Talents.fr;6493;6493;;NC;12652;2,0
6;Tele-Loisirs.fr;142949309;43737563;83740878;15470868;319941372;2,2
67;Tele2semaines.fr;7512093;3543889;3968204;NC;17800651;2,4
52;Telerama.fr;12267386;5532438;6734948;NC;32751552;2,7
55;TeleStar.fr;11053153;988601;2908528;7156024;34912468;3,2
119;Tendanceouest.com;1606199;241081;734497;630621;2241153;1,4
56;Topsante.com;10581579;1906833;4739758;3934988;19939904;1,9
90;Toutsurmesfinances.com;4321929;1905513;2416416;NC;5710186;1,3
177;Tribuca.net;92237;42271;49966;NC;155471;1,7
97;Vanityfair.fr;3181698;420429;2193734;567535;3911015;1,2
74;Varmatin.com;6397001;1545199;4548695;303107;11756471;1,8
72;Vogue.fr;6829184;810065;5113446;905673;35518324;5,2
14;Voici.fr;53105268;10055914;29067900;13981454;94135444;1,8
101;Vosgesmatin.fr;3072012;961285;2110727;NC;7863082;2,6
185;Vosquestionsdeparents.fr;33479;13870;19609;NC;44861;1,3
103;Zinfos974.com;2883757;569700;2314057;NC;5934984;2,1
156;Zoomdici.fr;310001;310001;;NC;847364;2,7
